序号,汉字,"通用规范汉字表等级",数量,ASR等级
1162,彼,1,74695,1
1163,径,1,100753,1
1164,所,1,3018553,1
1165,舍,1,196336,1
1166,金,1,1132552,1
1167,刹,1,27446,1
1168,命,1,524707,1
1169,肴,1,6170,1
1170,斧,1,16879,1
1171,爸,1,425739,1
1172,采,1,254468,1
1173,觅,1,7606,1
1174,受,1,1143129,1
1175,乳,1,150077,1
1176,贪,1,49242,1
1177,念,1,393152,1
1178,贫,1,81525,1
1179,忿,1,2048,2
1180,肤,1,337609,1
1181,肺,1,68124,1
1182,肢,1,39762,1
1183,肿,1,125449,1
1184,胀,1,48935,1
1185,朋,1,1209813,1
1186,股,1,470422,1
1187,肮,1,4877,1
1188,肪,1,75666,1
1189,肥,1,210059,1
1190,服,1,1034342,1
1191,胁,1,37085,1
1192,周,1,669689,1
1193,昏,1,39466,1
1194,鱼,1,304392,1
1195,兔,1,65487,1
1196,狐,1,32912,1
1197,忽,1,133259,1
1198,狗,1,409010,1
1199,狞,1,1559,2
1200,备,1,715631,1
1201,饰,1,117499,1
1202,饱,1,64103,1
1203,饲,1,31502,1
1204,变,1,1157455,1
1205,京,1,449509,1
1206,享,1,295145,1
1207,庞,1,24369,1
1208,店,1,405967,1
1209,夜,1,320698,1
1210,庙,1,25376,1
1211,府,1,197819,1
1212,底,1,663555,1
1213,疟,1,2085,1
1214,疙,1,10398,1
1215,疚,1,15347,1
1216,剂,1,139048,1
1217,卒,1,10788,1
1218,郊,1,17618,1
1219,庚,1,14915,1
1220,废,1,101244,1
1221,净,1,205489,1
1222,盲,1,57940,1
1223,放,1,1118468,1
1224,刻,1,296559,1
1225,育,1,759523,1
1226,氓,1,33029,1
1227,闸,1,6627,1
1228,闹,1,139770,1
1229,郑,1,54659,1
1230,券,1,84961,1
1231,卷,1,117732,1
1232,单,1,1329311,1
1233,炬,1,3739,1
1234,炒,1,114688,1
1235,炊,1,3222,1
1236,炕,1,2074,1
1237,炎,1,238192,1
1238,炉,1,55383,1
1239,沫,1,28867,1
1240,浅,1,91359,1
1241,法,1,2864963,1
1242,泄,1,61423,1
1243,沽,1,5746,1
1244,河,1,189928,1
1245,沾,1,34824,1
1246,泪,1,113790,1
1247,沮,1,6279,1
1248,油,1,496289,1
1249,泊,1,18460,1
1250,沿,1,52723,1
1251,泡,1,167685,1
1252,注,1,940269,1
1253,泣,1,14351,1
1254,泞,1,961,1
1255,泻,1,49350,1
1256,泌,1,77081,1
1257,泳,1,51039,1
1258,泥,1,70186,1
1259,沸,1,28329,1
1260,沼,1,6609,1
1261,波,1,252852,1
1262,泼,1,31808,1
1263,泽,1,69118,1
1264,治,1,869711,1
1265,怔,1,1592,1
1266,怯,1,8531,1
1267,怖,1,62783,1
1268,性,1,2710990,1
1269,怕,1,476357,1
1270,怜,1,47389,1
1271,怪,1,292325,1
1272,怡,1,13888,1
1273,学,1,6297582,1
1274,宝,1,875608,1
1275,宗,1,154796,1
1276,定,1,2407785,1
1277,宠,1,121873,1
1278,宜,1,215764,1
1279,审,1,162349,1
1280,宙,1,55479,1
1281,官,1,362626,1
1282,空,1,711937,1
1283,帘,1,14794,1
1284,宛,1,6579,1
1285,实,1,2826145,1
1286,试,1,880014,1
1287,郎,1,47576,1
1288,诗,1,181762,1
1289,肩,1,64119,1
1290,房,1,793308,1
1291,诚,1,135085,1
1292,衬,1,27402,1
1293,衫,1,25660,1
1294,视,1,950303,1
1295,祈,1,13238,1
1296,话,1,2052716,1
1297,诞,1,45797,1
1298,诡,1,14429,1
1299,询,1,189810,1
1300,该,1,1638638,1
1301,详,1,145508,1
1302,建,1,941596,1
1303,肃,1,42847,1
1304,录,1,348287,1
1305,隶,1,18206,1
1306,帚,1,1845,1
1307,屉,1,5387,1
1308,居,1,322642,1
1309,届,1,91025,1
1310,刷,1,250846,1
1311,屈,1,62467,1
1312,弧,1,12139,1
1313,弥,1,40120,1
1314,弦,1,32798,1
1315,承,1,277461,1
1316,孟,1,22871,1
1317,陋,1,16444,1
1318,陌,1,63631,1
1319,孤,1,130163,1
1320,陕,1,16870,1
1321,降,1,264711,1
1322,函,1,49269,1
1323,限,1,425491,1
1324,妹,1,364803,1
1325,姑,1,158892,1
1326,姐,1,290626,1
1327,姓,1,113624,1
1328,妮,1,19448,1
1329,始,1,991667,1
1330,姆,1,84030,1
1331,迢,1,2942,1
1332,驾,1,90042,1
1333,叁,1,1731,2
1334,参,1,494200,1
1335,艰,1,38204,1
1336,线,1,933528,1
1337,练,1,450467,1
1338,组,1,471801,1
1339,绅,1,9297,1
1340,细,1,598648,1
1341,驶,1,64134,1
1342,织,1,181230,1
1343,驹,1,4178,1
1344,终,1,402976,1
1345,驻,1,32851,1
1346,绊,1,9069,1
1347,驼,1,11794,1
1348,绍,1,187494,1
1349,绎,1,10147,1
1350,经,1,3274137,1
1351,贯,1,33782,1
1352,契,1,32124,1
1353,贰,1,2490,2
1354,奏,1,84788,1
1355,春,1,272411,1
1356,帮,1,770581,1
1357,玷,1,1568,2
1358,珍,1,81853,1
1359,玲,1,20174,1
1360,珊,1,13208,1
1361,玻,1,59940,1
1362,毒,1,356077,1
1363,型,1,653190,1
1364,拭,1,11710,1
1365,挂,1,174284,1
1366,封,1,175212,1
1367,持,1,823478,1
1368,拷,1,9359,1
1369,拱,1,7026,1
1370,项,1,418125,1
1371,垮,1,9798,1
1372,挎,1,1347,1
1373,城,1,629644,1
1374,挟,1,5001,1
1375,挠,1,12831,1
1376,政,1,643444,1
1377,赴,1,19649,1
1378,赵,1,76023,1
1379,挡,1,55089,1
1380,拽,1,9576,1
1381,哉,1,9999,1
1382,挺,1,313103,1
1383,括,1,271696,1
1384,垢,1,11634,1
1385,拴,1,3004,1
1386,拾,1,34043,1
1387,挑,1,148692,1
1388,垛,1,672,1
1389,指,1,839956,1
1390,垫,1,44495,1
1391,挣,1,67578,1
1392,挤,1,60426,1
1393,拼,1,110252,1
1394,挖,1,67433,1
1395,按,1,471649,1
1396,挥,1,100902,1
1397,挪,1,16821,1
1398,拯,1,21199,1
1399,某,1,585303,1
1400,甚,1,417730,1
1401,荆,1,14654,1
1402,茸,1,7098,1
1403,革,1,111868,1
1404,茬,1,6306,1
1405,荐,1,406520,1
1406,巷,1,14841,1
1407,带,1,926708,1
1408,草,1,202415,1
1409,茧,1,3477,1
1410,茵,1,4686,1
1411,茶,1,200334,1
1412,荒,1,55557,1
1413,茫,1,78224,1
1414,荡,1,55309,1
1415,荣,1,126134,1
1416,荤,1,6908,1
1417,荧,1,8293,1
1418,故,1,607386,1
1419,胡,1,137753,1
1420,荫,1,5114,1
1421,荔,1,6946,1
1422,南,1,593793,1
1423,药,1,625812,1
1424,标,1,690102,1
1425,栈,1,12737,1
1426,柑,1,4122,1
1427,枯,1,29545,1
1428,柄,1,14287,1
1429,栋,1,14509,1
1430,相,1,1919718,1
1431,查,1,621380,1
1432,柏,1,33279,1
1433,栅,1,4291,1
1434,柳,1,34577,1
1435,柱,1,43311,1
1436,柿,1,19067,1
1437,栏,1,93061,1
1438,柠,1,18797,1
1439,树,1,143123,1
1440,勃,1,33677,1
1441,要,1,7096522,1
1442,柬,1,4329,1
1443,咸,1,33704,1
1444,威,1,177320,1
1445,歪,1,41422,1
1446,研,1,668730,1
1447,砖,1,63491,1
1448,厘,1,43254,1
1449,厚,1,124543,1
1450,砌,1,5681,1
1451,砂,1,27663,1
1452,泵,1,8899,1
1453,砚,1,2203,1
1454,砍,1,36183,1
1455,面,1,3168162,1
1456,耐,1,123178,1
1457,耍,1,40988,1
1458,牵,1,56709,1
1459,鸥,1,3050,1
1460,残,1,143705,1
1461,殃,1,2378,1
1462,轴,1,44508,1
1463,轻,1,522167,1
1464,鸦,1,14326,1
1465,皆,1,62477,1
1466,韭,1,9853,1
1467,背,1,419719,1
1468,战,1,855224,1
1469,点,1,3348187,1
1470,虐,1,45732,1
1471,临,1,205733,1
1472,览,1,76522,1
1473,竖,1,17199,1
1474,省,1,279375,1
1475,削,1,27269,1
1476,尝,1,111928,1
1477,昧,1,34067,1
1478,盹,1,1553,1
1479,是,1,26574672,1
1480,盼,1,18449,1
1481,眨,1,6317,1
1482,哇,1,31429,1
1483,哄,1,34918,1
1484,哑,1,17032,1
1485,显,1,583872,1
1486,冒,1,118879,1
1487,映,1,87114,1
1488,星,1,616149,1
1489,昨,1,137152,1
1490,咧,1,13513,1
1491,昭,1,14697,1
1492,畏,1,28744,1
1493,趴,1,18371,1
1494,胃,1,137631,1
1495,贵,1,266273,1
1496,界,1,879203,1
1497,虹,1,24488,1
1498,虾,1,45576,1
1499,蚁,1,19969,1
1500,思,1,1000150,1
1501,蚂,1,14164,1
1502,虽,1,517119,1
1503,品,1,1418873,1
1504,咽,1,41575,1
1505,骂,1,183247,1
1506,勋,1,16898,1
1507,哗,1,11842,1
1508,咱,1,50160,1
1509,响,1,544431,1
1510,哈,1,566437,1
1511,哆,1,7425,1
1512,咬,1,66080,1
1513,咳,1,62100,1
1514,咪,1,29251,1
1515,哪,1,1788890,1
1516,哟,1,22641,1
1517,炭,1,16084,1
1518,峡,1,16848,1
1519,罚,1,65040,1
1520,贱,1,31202,1
1521,贴,1,257425,1
1522,贻,1,2390,1
1523,骨,1,227738,1
1524,幽,1,74092,1
1525,钙,1,64717,1
1526,钝,1,10939,1
1527,钞,1,10806,1
1528,钟,1,310567,1
1529,钢,1,127147,1
1530,钠,1,18657,1
1531,钥,1,21831,1
1532,钦,1,10216,1
1533,钧,1,3658,1
1534,钩,1,20172,1
1535,钮,1,27381,1
1536,卸,1,44777,1
1537,缸,1,23230,1
1538,拜,1,135371,1
1539,看,1,5328328,1
1540,矩,1,35320,1
1541,毡,1,2228,1
1542,氢,1,23969,1
1543,怎,1,2554841,1
1544,牲,1,32804,1
1545,选,1,1144310,1
1546,适,1,678122,1
1547,秒,1,125711,1
1548,香,1,390312,1
1549,种,1,2975765,1
1550,秋,1,111159,1
1551,科,1,1624560,1
1552,重,1,1801326,1
1553,复,1,869835,1
1554,竿,1,7484,1
1555,段,1,696861,1
1556,便,1,743004,1
1557,俩,1,103239,1
1558,贷,1,117684,1
1559,顺,1,285731,1
1560,修,1,540876,1
1561,俏,1,6393,1
1562,保,1,1057700,1
1563,促,1,89322,1
1564,俄,1,101944,1
1565,俐,1,3551,1
1566,侮,1,20062,1
1567,俭,1,10289,1
1568,俗,1,140771,1
1569,俘,1,8214,1
1570,信,1,1498395,1
1571,皇,1,140400,1
1572,泉,1,58780,1
1573,鬼,1,142693,1
1574,侵,1,107472,1
1575,禹,1,5009,1
1576,侯,1,32959,1
1577,追,1,324844,1
1578,俊,1,33084,1
1579,盾,1,110023,1
1580,待,1,675727,1
1581,徊,1,9429,1
1582,衍,1,26240,1
1583,律,1,434807,1
1584,很,1,5298860,1
1585,须,1,311174,1
1586,叙,1,35693,1
1587,剑,1,143771,1
1588,逃,1,94630,1
1589,食,1,847826,1
1590,盆,1,69703,1
1591,胚,1,11181,1
1592,胧,1,5496,1
1593,胆,1,115092,1
1594,胜,1,205168,1
1595,胞,1,121777,1
1596,胖,1,135873,1
1597,脉,1,94382,1
1598,胎,1,139657,1
1599,勉,1,39592,1
1600,狭,1,28418,1
1601,狮,1,37319,1
1602,独,1,415587,1
1603,狰,1,1339,2
1604,狡,1,5719,1
1605,狱,1,49074,1
1606,狠,1,45768,1
1607,贸,1,58060,1
1608,怨,1,74194,1
1609,急,1,278643,1
1610,饵,1,5858,1
1611,饶,1,11312,1
1612,蚀,1,13369,1
1613,饺,1,15473,1
1614,饼,1,59192,1
1615,峦,1,1167,2
1616,弯,1,74225,1
1617,将,1,899896,1
1618,奖,1,207190,1
1619,哀,1,36699,1
1620,亭,1,19072,1
1621,亮,1,264097,1
1622,度,1,1866939,1
1623,迹,1,109954,1
1624,庭,1,273452,1
1625,疮,1,32612,1
1626,疯,1,86140,1
1627,疫,1,71642,1
1628,疤,1,23261,1
1629,咨,1,134870,1
1630,姿,1,76487,1
1631,亲,1,658357,1
1632,音,1,801591,1
1633,帝,1,212030,1
1634,施,1,184683,1
1635,闺,1,41976,1
1636,闻,1,282301,1
1637,闽,1,8033,1
1638,阀,1,14310,1
1639,阁,1,21501,1
1640,差,1,749563,1
1641,养,1,644304,1
1642,美,1,1844748,1
1643,姜,1,58503,1
1644,叛,1,34642,1
1645,送,1,349749,1
1646,类,1,1363134,1
1647,迷,1,297206,1
1648,籽,1,8973,1
1649,娄,1,1879,1
1650,前,1,3073671,1
1651,首,1,736547,1
1652,逆,1,72528,1
1653,兹,1,24596,1
1654,总,1,1020542,1
1655,炼,1,134669,1
1656,炸,1,126180,1
1657,烁,1,5576,1
1658,炮,1,129262,1
1659,炫,1,38907,1
1660,烂,1,118735,1
1661,剃,1,13943,1
1662,洼,1,3331,1
1663,洁,1,125734,1
1664,洪,1,33892,1
1665,洒,1,31519,1
1666,柒,1,864,2
1667,浇,1,19937,1
1668,浊,1,12802,1
1669,洞,1,131274,1
1670,测,1,338826,1
1671,洗,1,446481,1
1672,活,1,1860750,1
1673,派,1,191626,1
1674,洽,1,8703,1
1675,染,1,206859,1
1676,洛,1,84130,1
1677,浏,1,54562,1
1678,济,1,403651,1
1679,洋,1,134913,1
1680,洲,1,201748,1
1681,浑,1,36288,1
1682,浓,1,87758,1
1683,津,1,82271,1
1684,恃,1,2829,1
1685,恒,1,50303,1
1686,恢,1,107692,1
1687,恍,1,11854,1
1688,恬,1,3380,1
1689,恤,1,10320,1
1690,恰,1,75705,1
1691,恼,1,135784,1
1692,恨,1,97479,1
1693,举,1,301433,1
1694,觉,1,2776733,1
1695,宣,1,151166,1
1696,宦,1,2977,1
1697,室,1,367663,1
1698,宫,1,168494,1
1699,宪,1,19857,1
1700,突,1,424870,1
1701,穿,1,383725,1
1702,窃,1,19214,1
1703,客,1,604845,1
1704,诫,1,6784,1
1705,冠,1,115969,1
1706,诬,1,2553,1
1707,语,1,1165908,1
1708,扁,1,27374,1
1709,袄,1,2613,1
1710,祖,1,104503,1
1711,神,1,1048024,1
1712,祝,1,139786,1
1713,祠,1,3649,1
1714,误,1,289011,1
1715,诱,1,51139,1
1716,诲,1,2228,1
1717,说,1,6389205,1
1718,诵,1,15472,1
1719,垦,1,2268,1
1720,退,1,258010,1
1721,既,1,216119,1
1722,屋,1,94761,1
1723,昼,1,7963,1
1724,屏,1,154188,1
1725,屎,1,41879,1
1726,费,1,769148,1
1727,陡,1,3564,1
1728,逊,1,36618,1
1729,眉,1,48952,1
1730,孩,1,1056768,1
1731,陨,1,5159,1
1732,除,1,741250,1
1733,险,1,325379,1
1734,院,1,693782,1
1735,娃,1,56935,1
1736,姥,1,36417,1
1737,姨,1,64299,1
1738,姻,1,97924,1
1739,娇,1,44548,1
1740,姚,1,16427,1
1741,娜,1,41499,1
1742,怒,1,96756,1
1743,架,1,236014,1
1744,贺,1,18691,1
1745,盈,1,60166,1
1746,勇,1,111051,1
1747,怠,1,9824,1
1748,癸,1,9087,3
1749,蚤,1,3251,1
1750,柔,1,99997,1
1751,垒,1,9757,1
1752,绑,1,53420,1
1753,绒,1,20113,1
1754,结,1,1404236,1
1755,绕,1,56044,1
1756,骄,1,29154,1
1757,绘,1,62638,1
1758,给,1,1948144,1
1759,绚,1,3516,1
1760,骆,1,5137,1
1761,络,1,543624,1
1762,绝,1,512851,1
1763,绞,1,12621,1
1764,骇,1,3457,1
1765,统,1,887549,1
1766,耕,1,15653,1
1767,耘,1,2177,1
1768,耗,1,99315,1
1769,耙,1,1557,2
1770,艳,1,50766,1
1771,泰,1,89602,1
1772,秦,1,61089,1
1773,珠,1,89839,1
1774,班,1,513421,1
1775,素,1,625620,1
1776,匿,1,85159,1
1777,蚕,1,9823,1
1778,顽,1,16028,1
1779,盏,1,6568,1
1780,匪,1,17825,1
1781,捞,1,23803,1
1782,栽,1,16944,1
1783,捕,1,32688,1
1784,埂,1,1005,2
1785,捂,1,15890,1
1786,振,1,48278,1
1787,载,1,317939,1
1788,赶,1,115476,1
1789,起,1,2272922,1
1790,盐,1,112018,1
1791,捎,1,2351,1
1792,捍,1,4921,1
1793,捏,1,23973,1
1794,埋,1,39579,1
1795,捉,1,26187,1
1796,捆,1,10647,1
1797,捐,1,30635,1
1798,损,1,200523,1
1799,袁,1,21770,1
1800,捌,1,295,2
1801,都,1,5673469,1
1802,哲,1,95438,1
1803,逝,1,24270,1
1804,捡,1,27803,1
1805,挫,1,25332,1
1806,换,1,536937,1
1807,挽,1,33578,1
1808,挚,1,10641,1
1809,热,1,669981,1
1810,恐,1,199922,1
1811,捣,1,17125,1
1812,壶,1,20806,1
1813,捅,1,10284,1
1814,埃,1,45921,1
1815,挨,1,29552,1
1816,耻,1,46590,1
1817,耿,1,12453,1
1818,耽,1,25687,1
1819,聂,1,4755,1
1820,恭,1,26293,1
1821,莽,1,6129,1
1822,莱,1,83150,1
1823,莲,1,42213,1
1824,莫,1,145818,1
1825,莉,1,35830,1
1826,荷,1,61707,1
1827,获,1,293034,1
1828,晋,1,36779,1
1829,恶,1,299631,1
1830,莹,1,10274,1
1831,莺,1,3659,1
1832,真,1,2275108,1
1833,框,1,77433,1
1834,梆,1,1308,1
1835,桂,1,32276,1
1836,桔,1,8870,1
1837,栖,1,9386,1
1838,档,1,131427,1
1839,桐,1,11262,1
1840,株,1,13234,1
1841,桥,1,86740,1
1842,桦,1,1526,2
1843,栓,1,14219,1
1844,桃,1,70917,1
1845,格,1,990190,1
1846,桩,1,10087,1
1847,校,1,820732,1
1848,核,1,253792,1
1849,样,1,3535801,1
1850,根,1,651455,1
1851,索,1,227120,1
1852,哥,1,337217,1
1853,速,1,520956,1
1854,逗,1,61505,1
1855,栗,1,20789,1
1856,贾,1,30586,1
1857,酌,1,8729,1
1858,配,1,513783,1
1859,翅,1,19546,1
1860,辱,1,53383,1
1861,唇,1,45918,1
1862,夏,1,178200,1
1863,砸,1,46518,1
1864,砰,1,3228,1
1865,砾,1,1078,2
1866,础,1,226048,1
1867,破,1,331159,1
1868,原,1,1433384,1
1869,套,1,323068,1
1870,逐,1,129431,1
1871,烈,1,159684,1
1872,殊,1,89520,1
1873,殉,1,3195,1
1874,顾,1,198900,1
1875,轿,1,12019,1
1876,较,1,1309966,1
1877,顿,1,148273,1
1878,毙,1,11270,1
1879,致,1,525338,1
1880,柴,1,32190,1
1881,桌,1,162288,1
1882,虑,1,324406,1
1883,监,1,127770,1
1884,紧,1,242799,1
1885,党,1,215171,1
1886,逞,1,3366,1
1887,晒,1,87788,1
1888,眠,1,127586,1
1889,晓,1,62566,1
1890,哮,1,11450,1
1891,唠,1,11944,1
1892,鸭,1,36023,1
1893,晃,1,25468,1
1894,哺,1,16206,1
1895,晌,1,1356,1
1896,剔,1,13837,1
1897,晕,1,65154,1
1898,蚌,1,2819,1
1899,畔,1,5615,1
1900,蚣,1,2296,1
1901,蚊,1,22955,1
1902,蚪,1,1423,2
1903,蚓,1,2839,1
1904,哨,1,11576,1
1905,哩,1,17517,1
1906,圃,1,1280,2
1907,哭,1,194225,1
1908,哦,1,155178,1
1909,恩,1,113987,1
1910,鸯,1,3619,1
1911,唤,1,37810,1
1912,唁,1,356,2
1913,哼,1,21692,1
1914,唧,1,10253,1
1915,啊,1,1470792,1
1916,唉,1,27964,1
1917,唆,1,1855,1
1918,罢,1,59449,1
1919,峭,1,2085,1
1920,峨,1,3814,1
1921,峰,1,87723,1
1922,圆,1,170854,1
1923,峻,1,6197,1
1924,贼,1,60647,1
1925,贿,1,6692,1
1926,赂,1,2465,1
1927,赃,1,2615,1
1928,钱,1,1036752,1
1929,钳,1,4356,1
1930,钻,1,56814,1
1931,钾,1,14965,1
1932,铁,1,280307,1
1933,铃,1,30651,1
1934,铅,1,19818,1
1935,缺,1,312308,1
1936,氧,1,96695,1
1937,氨,1,36793,1
1938,特,1,1339150,1
1939,牺,1,29036,1
1940,造,1,619580,1
1941,乘,1,89796,1
1942,敌,1,110049,1
1943,秤,1,10627,1
1944,租,1,141117,1
1945,积,1,346603,1
1946,秧,1,2181,1
1947,秩,1,14357,1
1948,称,1,476745,1
1949,秘,1,122030,1
1950,透,1,167743,1
1951,笔,1,308231,1
1952,笑,1,465472,1
1953,笋,1,9685,1
1954,债,1,79577,1
1955,借,1,207424,1
1956,值,1,724611,1
1957,倚,1,10527,1
1958,俺,1,18818,1
1959,倾,1,99800,1
1960,倒,1,290263,1
1961,倘,1,9178,1
1962,俱,1,39972,1
1963,倡,1,19032,1
1964,候,1,1970988,1
1965,赁,1,10400,1
1966,俯,1,15244,1
1967,倍,1,114166,1
1968,倦,1,19083,1
1969,健,1,628295,1
1970,臭,1,61816,1
1971,射,1,255187,1
1972,躬,1,10235,1
1973,息,1,543105,1
1974,倔,1,6316,1
1975,徒,1,108442,1
1976,徐,1,52757,1
1977,殷,1,9173,1
1978,舰,1,96940,1
1979,舱,1,15639,1
1980,般,1,683770,1
1981,航,1,178042,1
1982,途,1,155783,1
1983,拿,1,574134,1
1984,耸,1,5592,1
1985,爹,1,52434,1
1986,舀,1,1487,1
1987,爱,1,1893257,1
1988,豺,1,1684,2
1989,豹,1,17737,1
1990,颁,1,17108,1
1991,颂,1,15975,1
1992,翁,1,14674,1
1993,胰,1,13685,1
1994,脆,1,52046,1
1995,脂,1,168127,1
1996,胸,1,152202,1
1997,胳,1,13355,1
1998,脏,1,128684,1
1999,脐,1,10783,1
2000,胶,1,86235,1
2001,脑,1,833326,1
2002,脓,1,19500,1
2003,逛,1,65631,1
2004,狸,1,12957,1
2005,狼,1,67769,1
2006,卿,1,13411,1
2007,逢,1,34617,1
2008,鸵,1,1701,1
2009,留,1,518419,1
2010,鸳,1,4053,1
2011,皱,1,21830,1
2012,饿,1,55282,1
2013,馁,1,1640,1
2014,凌,1,60884,1
2015,凄,1,9552,1
2016,恋,1,505275,1
2017,桨,1,3857,1
2018,浆,1,35159,1
2019,衰,1,64712,1
2020,衷,1,41551,1
2021,高,1,2966631,1
2022,郭,1,62720,1
2023,席,1,68640,1
2024,准,1,691297,1
2025,座,1,244721,1
2026,症,1,385992,1
2027,病,1,975510,1
2028,疾,1,150027,1
2029,斋,1,9170,1
2030,疹,1,42879,1
2031,疼,1,189003,1
2032,疲,1,53862,1
2033,脊,1,32323,1
2034,效,1,711196,1
2035,离,1,646189,1
2036,紊,1,13275,1
2037,唐,1,107466,1
2038,瓷,1,31392,1
2039,资,1,1102268,1
2040,凉,1,98662,1
2041,站,1,542753,1
2042,剖,1,25381,1
2043,竞,1,158169,1
2044,部,1,1709118,1
2045,旁,1,118025,1
2046,旅,1,305793,1
2047,畜,1,16384,1
2048,阅,1,188916,1
2049,羞,1,53051,1
2050,羔,1,3089,1
2051,瓶,1,111776,1
2052,拳,1,65713,1
2053,粉,1,465689,1
2054,料,1,537588,1
2055,益,1,292451,1
2056,兼,1,96719,1
2057,烤,1,57084,1
2058,烘,1,17184,1
2059,烦,1,305406,1
2060,烧,1,189257,1
2061,烛,1,12399,1
2062,烟,1,159841,1
2063,烙,1,5166,1
2064,递,1,68247,1
2065,涛,1,18826,1
2066,浙,1,48364,1
2067,涝,1,1665,1
2068,浦,1,30179,1
2069,酒,1,436196,1
2070,涉,1,108091,1
2071,消,1,583870,1
2072,涡,1,13168,1
2073,浩,1,41549,1
2074,海,1,850246,1
2075,涂,1,98153,1
2076,浴,1,41473,1
2077,浮,1,78464,1
2078,涣,1,1773,1
2079,涤,1,17846,1
2080,流,1,931552,1
2081,润,1,121259,1
2082,涧,1,1878,2
2083,涕,1,16844,1
2084,浪,1,242881,1
2085,浸,1,47854,1
2086,涨,1,119382,1
2087,烫,1,43204,1
2088,涩,1,23756,1
2089,涌,1,21631,1
2090,悖,1,7342,1
2091,悟,1,76499,1
2092,悄,1,27172,1
2093,悍,1,10883,1
2094,悔,1,89770,1
2095,悯,1,5104,1
2096,悦,1,41181,1
2097,害,1,537048,1
2098,宽,1,122730,1
2099,家,1,4482748,1
2100,宵,1,23092,1
2101,宴,1,19303,1
2102,宾,1,58061,1
2103,窍,1,19107,1
2104,窄,1,26623,1
2105,容,1,936106,1
2106,宰,1,19344,1
2107,案,1,727879,1
2108,请,1,1463594,1
2109,朗,1,104259,1
2110,诸,1,119649,1
2111,诺,1,117082,1
2112,读,1,875066,1
2113,扇,1,45483,1
2114,诽,1,2883,1
2115,袜,1,27410,1
2116,袖,1,31340,1
2117,袍,1,14993,1
2118,被,1,1932337,1
2119,祥,1,27635,1
2120,课,1,428462,1
2121,冥,1,18054,1
2122,谁,1,535782,1
2123,调,1,768720,1
2124,冤,1,16211,1
2125,谅,1,69729,1
2126,谆,1,1225,2
2127,谈,1,463653,1
2128,谊,1,23879,1
2129,剥,1,30693,1
2130,恳,1,20650,1
2131,展,1,573768,1
2132,剧,1,527536,1
2133,屑,1,31833,1
2134,弱,1,213293,1
2135,陵,1,27074,1
2136,祟,1,3802,1
2137,陶,1,31071,1
2138,陷,1,91361,1
2139,陪,1,115803,1
2140,娱,1,253246,1
2141,娟,1,3863,1
2142,恕,1,11458,1
2143,娥,1,5454,1
2144,娘,1,212034,1
2145,通,1,1472923,1
2146,能,1,6386259,1
2147,难,1,1045153,1
2148,预,1,328941,1
2149,桑,1,49698,1
2150,绢,1,1635,1
2151,绣,1,12205,1
2152,验,1,876864,1
2153,继,1,285618,1
2154,骏,1,8480,1
2155,球,1,744208,1
2156,琐,1,26551,1
2157,理,1,3296147,1
2158,琉,1,5014,1
2159,琅,1,11148,1
2160,捧,1,34844,1
2161,堵,1,39809,1
2162,措,1,59276,1
2163,描,1,199047,1
2164,域,1,225545,1
2165,捺,1,1472,1
2166,掩,1,32603,1
2167,捷,1,69930,1
2168,排,1,538803,1
2169,焉,1,9507,1
2170,掉,1,428802,1
2171,捶,1,3245,1
2172,赦,1,3296,1
2173,堆,1,105744,1
2174,推,1,774775,1
2175,埠,1,2191,1
2176,掀,1,10023,1
2177,授,1,113704,1
2178,捻,1,2134,1
2179,教,1,1518355,1
2180,掏,1,28476,1
2181,掐,1,11448,1
2182,掠,1,9366,1
2183,掂,1,2550,1
2184,培,1,187153,1
2185,接,1,1393034,1
2186,掷,1,6867,1
2187,控,1,357345,1
2188,探,1,123500,1
2189,据,1,745183,1
2190,掘,1,31050,1
2191,掺,1,9245,1
2192,职,1,590683,1
2193,基,1,1267206,1
2194,聆,1,3865,1
2195,勘,1,5456,1
2196,聊,1,340886,1
2197,娶,1,30991,1
2198,著,1,167208,1
2199,菱,1,11108,1
2200,勒,1,90773,1
2201,黄,1,414775,1
2202,菲,1,85268,1
2203,萌,1,114373,1
2204,萝,1,58809,1
2205,菌,1,111677,1
2206,萎,1,20794,1
2207,菜,1,378161,1
2208,萄,1,50011,1
2209,菊,1,26662,1
2210,菩,1,21611,1
2211,萍,1,8702,1
2212,菠,1,17025,1
2213,萤,1,3877,1
2214,营,1,461491,1
2215,乾,1,0,2
2216,萧,1,21570,1
2217,萨,1,103663,1
2218,菇,1,27046,1
2219,械,1,82676,1
2220,彬,1,8363,1
2221,梦,1,296748,1
2222,婪,1,5538,1
2223,梗,1,35523,1
2224,梧,1,4885,1
2225,梢,1,7564,1
2226,梅,1,90039,1
2227,检,1,324165,1
2228,梳,1,20921,1
2229,梯,1,52491,1
2230,桶,1,39820,1
2231,梭,1,9113,1
2232,救,1,181009,1
2233,曹,1,46921,1
2234,副,1,150423,1
2235,票,1,456970,1
2236,酝,1,2818,1
2237,酗,1,4249,1
2238,厢,1,17724,1
2239,戚,1,68602,1
2240,硅,1,19272,1
2241,硕,1,101081,1
2242,奢,1,33677,1
2243,盔,1,13105,1
2244,爽,1,111151,1
2245,聋,1,7497,1
2246,袭,1,86401,1
2247,盛,1,104201,1
2248,匾,1,1604,1
2249,雪,1,153533,1
